Day,SickPopAll,DeadPopAll,NASickPop,NADeadPop,SASickPop,SADeadPop,EUSickPop,EUDeadPop,AISickPop,AIDeadPop,AFSickPop,AFDeadPop,AUSickPop,AUDeadPop
2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3,3,0,3,0,0,0,0,0,0,0,0,0,0,0
4,4,0,4,0,0,0,0,0,0,0,0,0,0,0
5,6,1,6,1,0,0,0,0,0,0,0,0,0,0
6,9,1,9,1,0,0,0,0,0,0,0,0,0,0
7,15,2,15,2,0,0,0,0,0,0,0,0,0,0
8,22,3,22,3,0,0,0,0,0,0,0,0,0,0
9,36,5,36,5,0,0,0,0,0,0,0,0,0,0
10,57,8,57,8,0,0,0,0,0,0,0,0,0,0
11,94,13,94,13,0,0,0,0,0,0,0,0,0,0
12,143,21,143,21,0,0,0,0,0,0,0,0,0,0
13,254,34,254,34,0,0,0,0,0,0,0,0,0,0
14,388,54,388,54,0,0,0,0,0,0,0,0,0,0
15,575,85,575,85,0,0,0,0,0,0,0,0,0,0
16,868,130,868,130,0,0,0,0,0,0,0,0,0,0
17,1523,211,1523,211,0,0,0,0,0,0,0,0,0,0
18,2237,328,2237,328,0,0,0,0,0,0,0,0,0,0
19,3910,534,3910,534,0,0,0,0,0,0,0,0,0,0
20,5691,834,5691,834,0,0,0,0,0,0,0,0,0,0
21,9607,1339,9607,1339,0,0,0,0,0,0,0,0,0,0
22,14365,2095,14365,2095,0,0,0,0,0,0,0,0,0,0
23,25397,3432,25397,3432,0,0,0,0,0,0,0,0,0,0
24,39497,5511,39497,5511,0,0,0,0,0,0,0,0,0,0
25,66151,8992,66151,8992,0,0,0,0,0,0,0,0,0,0
26,106833,14615,106833,14615,0,0,0,0,0,0,0,0,0,0
27,186745,24444,186745,24444,0,0,0,0,0,0,0,0,0,0
28,280481,39206,280481,39206,0,0,0,0,0,0,0,0,0,0
29,447382,62752,447382,62752,0,0,0,0,0,0,0,0,0,0
30,776073,103598,776073,103598,0,0,0,0,0,0,0,0,0,0
31,1201749,166848,1201749,166848,0,0,0,0,0,0,0,0,0,0
32,2132624,279092,2132624,279092,0,0,0,0,0,0,0,0,0,0
33,3274005,451408,3274005,451408,0,0,0,0,0,0,0,0,0,0
34,5352834,733136,5352834,733136,0,0,0,0,0,0,0,0,0,0
35,7826110,1145036,7826110,1145036,0,0,0,0,0,0,0,0,0,0
36,12066688,1780125,12066688,1780125,0,0,0,0,0,0,0,0,0,0
37,17963075,2725550,17963075,2725550,0,0,0,0,0,0,0,0,0,0
38,29966002,4302708,29966002,4302708,0,0,0,0,0,0,0,0,0,0
39,51184930,6996652,51184928,6996652,2,0,0,0,0,0,0,0,0,0
40,84365560,11436944,84365556,11436944,4,0,0,0,0,0,0,0,0,0
41,134006257,18489906,134006248,18489905,8,1,0,0,0,0,1,0,0,0
42,218202386,29974241,218202372,29974240,12,1,0,0,0,0,2,0,0,0
43,320473847,46841285,320473821,46841283,20,2,0,0,2,0,4,0,0,0
44,566581729,76661377,566581686,76661372,32,4,0,0,3,0,8,1,0,0
45,538252672,104990464,538252602,104990456,53,7,0,0,5,0,12,1,0,0
46,511340083,131903100,511339972,131903086,85,11,0,0,8,1,18,2,0,0
47,485773143,157470109,485772973,157470085,128,18,2,0,13,2,27,4,0,0
48,461484607,181758772,461484325,181758734,213,29,4,0,21,3,44,6,0,0
49,438410570,204833013,438410109,204832950,348,48,6,1,34,4,73,10,0,0
50,416490338,226753556,416489603,226753455,564,77,9,1,53,7,109,16,0,0
51,395666366,247578102,395665123,247577936,952,127,15,2,92,12,182,25,2,0
52,375883829,267361462,375881867,267361192,1500,206,22,3,147,20,290,41,3,0
53,357090958,286155722,357087773,286155285,2482,337,38,5,238,32,422,63,5,0
54,339238344,304010373,339233385,304009674,3845,539,57,8,388,53,662,98,7,1
55,322280149,320972484,322271716,320971343,6670,890,85,12,677,88,990,150,11,1
56,306172502,337086828,306158130,337084929,11438,1492,136,20,1030,143,1750,242,18,2
57,290872073,352395884,290850223,352392835,17104,2393,212,31,1650,229,2850,392,34,4
58,276344788,366940346,276307712,366935346,29897,3966,323,48,2500,361,4299,618,57,7
59,262548672,380758698,262492327,380750732,44507,6309,499,74,4104,577,7145,994,90,12
60,249455503,393887934,249367710,393875348,69807,9983,879,120,6574,923,10398,1541,135,19
61,237041613,406363809,236899325,406343734,111809,15867,1315,190,10573,1479,18384,2509,207,30
62,225273990,418220335,225054358,418188700,168676,24745,2097,300,16301,2337,32257,4207,301,46
63,214124763,429490060,213801641,429441418,245490,37666,3666,493,24809,3643,48663,6768,494,72
64,203645254,440208231,203111558,440131500,401364,58790,6044,811,42706,5891,82798,11126,784,113
65,193784656,450407423,192955981,450287078,626853,91782,8836,1276,64711,9297,127111,17816,1164,174
66,184668612,460126822,183308182,459934877,1008200,144845,15152,2073,110533,15114,224727,29643,1818,270
67,176447318,469413524,174142772,469100286,1695290,234071,26888,3489,182186,24703,397306,50554,2876,421
68,168956843,478305990,165435634,477807425,2557514,368677,39669,5576,303922,40699,615229,82935,4875,678
69,163200711,486895500,157163852,486079206,4419513,601283,62483,8865,513066,67702,1034507,137382,7290,1062
70,158840672,495255536,149305660,493937399,7019956,970754,95096,13870,890016,114545,1519381,217350,10563,1618
71,157060628,503521886,141840377,501402682,11337230,1567451,168758,22752,1496562,193312,2201203,333203,16498,2486
72,160023203,511944159,134748358,508494701,19138946,2574764,270299,36978,2327379,315805,3511029,517994,27192,3917
73,167248297,520746701,128010940,515232119,29763932,4141286,402381,58156,3774193,514447,5250042,794312,46809,6381
74,190162241,530755241,121610395,521632666,52819074,6921238,660549,92922,5819240,820723,9177074,1277316,75909,10376
75,217928439,542225158,115529875,527713186,78629116,11059612,1128283,152305,8624114,1274624,13905563,2009187,111488,16244
76,266587111,556256058,109753381,533489679,117051232,17220203,1874699,250974,15189653,2074079,22549955,3196027,168191,25096
77,344099898,574366579,104265713,538977348,176583489,26514071,3314375,425415,24127244,3343934,35518434,5065418,290643,40393
78,516502070,601550898,99052427,544190634,307493656,42697948,5595164,719897,41853530,5546751,62086223,8333114,421070,62554
79,722261283,639564650,94099806,549143255,451615931,66467207,8515280,1168070,72046667,9338681,95314770,13349681,668829,97756
80,1080632517,696440047,89394816,553848246,702330509,103431971,13185912,1862065,116355372,15462648,158370254,21684958,995654,150159
81,1188910652,759014292,84925076,558317987,667213985,138548497,22873601,3065939,172438660,24538367,239970527,34314985,1488803,228517
82,1390114823,832178230,80678822,562564240,633853287,171909196,35267666,4922132,260140963,38229997,377977576,54208542,2196509,344123
83,1741317685,923826527,76644881,566598181,602160623,203601860,56019160,7870508,430507278,60888275,572730517,84352253,3255226,515450
84,2285585030,1044120477,72812640,570430426,572052592,233709891,96803908,12965451,700994994,97782748,837360645,128423866,5560251,808095
85,3334012592,1219594825,69172008,574071058,543449964,262312521,157625807,21261546,1080829122,154668491,1474843295,206047198,8092396,1234011
86,3918122653,1425811806,65713409,577529658,516277467,289485019,257710312,34825247,1910851829,255239640,1155200001,266847198,12369635,1885044
87,5410745973,1710587911,62427740,580815329,490463594,315298893,387068000,55197247,3352876127,431706805,1097440001,324607198,20470511,2962439
88,7283780227,2092129435,0,579000000,465940414,339822072,640558829,88910869,5102742136,700272180,1042568002,379479198,31970846,4645116
89,6795697688,2449797734,1,579000000,442643394,363119093,1004684489,141789000,4332950001,928322180,990439603,431607598,24980200,5959863
90,6212879526,2776791393,2,579000000,420511225,385251263,711416984,179231999,4116302501,1144969680,940917624,481129578,23731190,7208873
91,5902235553,3087435369,3,579000000,399485664,406276824,675846136,214802849,3910487377,1350784805,893871743,528175459,22544630,8395432
92,5607123780,3382547147,1,579000000,379511382,426251107,642053830,248595155,3714963008,1546309174,849178157,572869047,21417402,9522664
93,5326767596,3662903337,2,579000000,360535813,445226676,609951138,280697847,3529214858,1732057325,806719252,615327955,20346533,10593534
94,5060429219,3929241717,0,579000000,342509024,463253467,579453582,311195404,3352754115,1908518068,766383290,655663917,19329208,11610861
