Day,SickPopAll,DeadPopAll,NASickPop,NADeadPop,SASickPop,SADeadPop,EUSickPop,EUDeadPop,AISickPop,AIDeadPop,AFSickPop,AFDeadPop,AUSickPop,AUDeadPop
2,2,0,2,0,0,0,0,0,0,0,0,0,0,0
3,4,1,4,1,0,0,0,0,0,0,0,0,0,0
4,7,1,7,1,0,0,0,0,0,0,0,0,0,0
5,13,3,13,3,0,0,0,0,0,0,0,0,0,0
6,27,6,27,6,0,0,0,0,0,0,0,0,0,0
7,48,11,48,11,0,0,0,0,0,0,0,0,0,0
8,68,22,68,22,0,0,0,0,0,0,0,0,0,0
9,92,37,92,37,0,0,0,0,0,0,0,0,0,0
10,131,58,131,58,0,0,0,0,0,0,0,0,0,0
11,170,84,170,84,0,0,0,0,0,0,0,0,0,0
12,235,121,235,121,0,0,0,0,0,0,0,0,0,0
13,319,172,319,172,0,0,0,0,0,0,0,0,0,0
14,476,251,476,251,0,0,0,0,0,0,0,0,0,0
15,676,360,676,360,0,0,0,0,0,0,0,0,0,0
16,962,516,962,516,0,0,0,0,0,0,0,0,0,0
17,1425,752,1425,752,0,0,0,0,0,0,0,0,0,0
18,1864,1040,1864,1040,0,0,0,0,0,0,0,0,0,0
19,2787,1503,2787,1503,0,0,0,0,0,0,0,0,0,0
20,3967,2146,3967,2146,0,0,0,0,0,0,0,0,0,0
21,5760,3091,5760,3091,0,0,0,0,0,0,0,0,0,0
22,8115,4399,8115,4399,0,0,0,0,0,0,0,0,0,0
23,11822,6340,11822,6340,0,0,0,0,0,0,0,0,0,0
24,17506,9239,17506,9239,0,0,0,0,0,0,0,0,0,0
25,23487,12922,23487,12922,0,0,0,0,0,0,0,0,0,0
26,32074,18005,32074,18005,0,0,0,0,0,0,0,0,0,0
27,45032,25253,45032,25253,0,0,0,0,0,0,0,0,0,0
28,62144,35160,62144,35160,0,0,0,0,0,0,0,0,0,0
29,81583,47788,81583,47788,0,0,0,0,0,0,0,0,0,0
30,109844,65051,109844,65051,0,0,0,0,0,0,0,0,0,0
