Day,SickPopAll,DeadPopAll,NASickPop,NADeadPop,SASickPop,SADeadPop,EUSickPop,EUDeadPop,AISickPop,AIDeadPop,AFSickPop,AFDeadPop,AUSickPop,AUDeadPop
2,2,0,2,0,0,0,0,0,0,0,0,0,0,0
3,3,1,3,1,0,0,0,0,0,0,0,0,0,0
4,6,1,6,1,0,0,0,0,0,0,0,0,0,0
5,12,3,12,3,0,0,0,0,0,0,0,0,0,0
6,21,5,21,5,0,0,0,0,0,0,0,0,0,0
7,41,9,41,9,0,0,0,0,0,0,0,0,0,0
8,59,19,59,19,0,0,0,0,0,0,0,0,0,0
9,79,31,79,31,0,0,0,0,0,0,0,0,0,0
10,108,48,108,48,0,0,0,0,0,0,0,0,0,0
11,159,74,159,74,0,0,0,0,0,0,0,0,0,0
12,218,109,218,109,0,0,0,0,0,0,0,0,0,0
13,302,157,302,157,0,0,0,0,0,0,0,0,0,0
14,429,227,429,227,0,0,0,0,0,0,0,0,0,0
15,615,327,615,327,0,0,0,0,0,0,0,0,0,0
16,784,446,784,446,0,0,0,0,0,0,0,0,0,0
17,1000,598,1000,598,0,0,0,0,0,0,0,0,0,0
18,1322,803,1322,803,0,0,0,0,0,0,0,0,0,0
19,1793,1086,1793,1086,0,0,0,0,0,0,0,0,0,0
20,2440,1472,2440,1472,0,0,0,0,0,0,0,0,0,0
21,3227,1974,3227,1974,0,0,0,0,0,0,0,0,0,0
22,4623,2726,4623,2726,0,0,0,0,0,0,0,0,0,0
23,6403,3749,6403,3749,0,0,0,0,0,0,0,0,0,0
24,8283,5019,8283,5019,0,0,0,0,0,0,0,0,0,0
25,11828,6941,11828,6941,0,0,0,0,0,0,0,0,0,0
26,16948,9699,16948,9699,0,0,0,0,0,0,0,0,0,0
27,23714,13509,23714,13509,0,0,0,0,0,0,0,0,0,0
28,33181,18840,33181,18840,0,0,0,0,0,0,0,0,0,0
29,46905,26419,46905,26419,0,0,0,0,0,0,0,0,0,0
30,68106,37582,68106,37582,0,0,0,0,0,0,0,0,0,0
31,101505,54445,101505,54445,0,0,0,0,0,0,0,0,0,0
32,133256,75071,133256,75071,0,0,0,0,0,0,0,0,0,0
33,172381,101509,172381,101509,0,0,0,0,0,0,0,0,0,0
34,239540,139846,239540,139846,0,0,0,0,0,0,0,0,0,0
35,311019,187658,311019,187658,0,0,0,0,0,0,0,0,0,0
36,420249,253843,420249,253843,0,0,0,0,0,0,0,0,0,0
37,606168,352854,606168,352854,0,0,0,0,0,0,0,0,0,0
38,830693,484756,830693,484756,0,0,0,0,0,0,0,0,0,0
39,1214141,684455,1214141,684455,0,0,0,0,0,0,0,0,0,0
40,1593925,931168,1593925,931168,0,0,0,0,0,0,0,0,0,0
41,2253172,1295221,2253172,1295221,0,0,0,0,0,0,0,0,0,0
42,3314867,1842291,3314867,1842291,0,0,0,0,0,0,0,0,0,0
43,4510871,2555650,4510871,2555650,0,0,0,0,0,0,0,0,0,0
44,6463176,3607586,6463176,3607586,0,0,0,0,0,0,0,0,0,0
45,8981228,5044996,8981228,5044996,0,0,0,0,0,0,0,0,0,0
46,13299404,7247193,13299402,7247193,2,0,0,0,0,0,0,0,0,0
47,19757595,10524166,19757590,10524165,5,1,0,0,0,0,0,0,0,0
48,26506790,14681164,26506781,14681162,9,2,0,0,0,0,0,0,0,0
49,39505725,21244245,39505704,21244241,19,4,0,0,0,0,0,0,2,0
50,51104618,29082182,51104578,29082173,35,8,0,0,2,0,0,0,3,1
51,64637155,38853387,64637069,38853368,73,16,0,0,4,1,0,0,9,2
52,82683872,51444708,82683736,51444669,105,33,0,0,11,2,2,0,18,4
53,114103756,69635159,114103554,69635091,142,55,0,0,20,4,3,1,37,8
54,153629344,93779515,153629023,93779402,200,87,0,0,41,9,7,1,73,16
55,224544665,130712007,224544178,130711819,287,134,0,0,83,18,12,3,105,33
56,331427952,185500895,331427204,185500598,391,196,2,0,179,38,24,5,152,58
57,484415072,265176164,484413996,265175696,562,287,4,1,246,77,49,11,215,92
58,435974144,313617815,435972597,313617096,817,421,7,2,341,131,75,23,307,142
59,392377448,357215408,392375336,357214356,1037,578,15,3,496,213,110,41,454,217
60,353140555,396453364,353137802,396451889,1342,784,28,6,656,315,145,64,582,306
61,317827831,431767747,317824022,431765669,1898,1091,53,12,902,458,184,91,772,426
62,286046824,463550969,286041620,463548072,2455,1467,93,23,1254,659,251,131,1151,617
63,257444455,492156230,257437456,492152234,3141,1946,117,40,1839,962,319,179,1583,869
64,231703433,517901530,231693709,517895979,4456,2667,160,65,2635,1390,418,244,2055,1185
65,208538273,541073170,208524337,541065350,6557,3749,219,100,3699,1986,625,348,2836,1637
66,187690950,561928623,187671904,561917784,8450,5042,303,148,5265,2840,909,497,4119,2312
67,168930999,580700002,168904713,580684974,11825,6942,391,208,6836,3890,1333,716,5901,3272
68,35993,579020742,0,579000000,16035,9472,522,290,9796,5485,1808,1002,7832,4493
69,51343,579029078,0,579000000,23668,13385,691,397,13943,7746,2608,1428,10433,6122
70,70297,579040233,0,579000000,34252,18989,931,543,17768,10445,3900,2077,13446,8179
71,99705,579056372,0,579000000,49076,26977,1244,738,25032,14482,5345,2925,19008,11250
72,142385,579079506,0,579000000,70552,38480,1634,991,35266,20170,6786,3954,28147,15911
73,190137,579109241,0,579000000,97363,54002,2129,1319,44435,26870,9528,5487,36682,21563
74,257552,579149862,0,579000000,134361,75422,3102,1828,56202,35366,12738,7481,51149,29765
75,349372,579205010,0,579000000,189288,105948,4356,2529,74861,47056,16173,9932,64694,39545
76,509277,579288658,0,579000000,281206,152589,5761,3425,105823,64154,24104,13936,92383,54554
77,717298,579404322,0,579000000,384016,213442,8448,4817,156196,89975,30950,18660,137688,77428
78,957664,579554076,0,579000000,494919,289170,11374,6604,229045,127712,45534,26175,176792,104415
79,1298414,579758971,0,579000000,673486,395676,14604,8834,314983,177827,62400,36083,232941,140551
80,1750116,580034199,0,579000000,906782,538186,20575,12152,407463,240320,80421,48388,334875,195153
81,2476542,580434570,0,579000000,1334058,758353,30171,17123,566210,330939,112911,66563,433192,261592
82,3425191,580981300,0,579000000,1783369,1037438,42650,24014,824856,466377,166115,93978,608201,359493
83,4781737,581748586,0,579000000,2452489,1427639,62748,34369,1150179,650815,224456,129328,891865,506435
84,6602050,582801379,1,579000000,3431523,1978958,79062,46291,1559644,896953,288203,173321,1243617,705856
85,8607406,584127976,2,579000000,4439018,2659773,100378,61503,2054988,1215745,428156,244335,1584864,946620
86,11831469,586009916,0,579000000,6296304,3678971,138521,83586,2609013,1611124,592911,339043,2194720,1297192
87,16290795,588603682,0,579000000,8658676,5056603,178528,110903,3775766,2228939,775528,458811,2902297,1748426
88,22872442,592285442,0,579000000,12613959,7127758,251510,151464,4811836,2959927,1036726,621051,4158411,2425242
89,32335205,597510188,0,579000000,18497109,10175290,361571,210418,6247688,3920369,1550113,878989,5678724,3325122
90,47358852,605308001,0,579000000,27479303,14732978,469464,282587,8891709,5362336,2027549,1192112,8490827,4737988
91,65711790,615816092,1,579000000,38976643,21042226,645609,385307,11801078,7201141,2856411,1652771,11432048,6534647
92,91602840,630502829,1,579000000,56781172,30365439,943622,540511,15435811,9584959,3982981,2291465,14459253,8720455
93,131901372,652027816,1,579000000,81628614,43674946,1397320,771888,22116430,13184590,5764172,3234635,20994835,12161757
94,173164975,678831389,1,579000000,116565658,62612784,1914887,1075944,27972861,17413252,7816218,4468168,18895350,14261241
95,216823036,711391526,1,579000000,149670304,85459653,2706885,1513305,36991313,23164472,10448720,6103320,17005813,16150776
96,306338773,760873341,1,579000000,223787035,122697624,3774480,2118564,49805102,30991834,13666925,8213962,15305230,17851357
97,383147970,818367988,0,579000001,281971663,165217160,5444313,3007832,63949751,40753634,18007538,11007481,13774705,19381880
98,527466566,902341133,0,579000001,393181283,228266023,7356362,4166383,88557615,54899319,25974073,15250057,12397233,20759350
99,747755718,1023346743,1,579000001,557688327,318540445,10257712,5811265,131561191,76719915,37090979,21276043,11157508,21999074
100,752218383,1117931874,0,579000000,501919493,374309277,14204881,8080272,173976519,103768896,52075733,29658604,10041757,23114825
101,809118298,1226184150,1,579000000,451727544,424501227,19943654,11290575,259294603,146845482,69114914,40427865,9037582,24119001
